Links,Page,DocumentID,LinkType,Domain,valid_domain,valid_tld,http_request,http_code,mime_type,whois_info,tld
https://www.cisa.gov/news-events/news/best-practices-mitre-attckr-mapping,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,cisa.gov,True,True,True,200.0,text/html; charset=UTF-8,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)",.gov
https://github.com/cisagov/Decider/,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,github.com,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': ['GITHUB.COM', 'github.com'], 'registrar': 'MarkMonitor, Inc.', 'whois_server': 'whois.markmonitor.com', 'referral_url': None, 'updated_date': datetime.datetime(2022, 9, 7, 9, 10, 44), 'creation_date': datetime.datetime(2007, 10, 9, 18, 20, 50), 'expiration_date': [datetime.datetime(2024, 10, 9, 18, 20, 50), datetime.datetime(2024, 10, 9, 0, 0)], 'name_servers': ['DNS1.P08.NSONE.NET', 'DNS2.P08.NSONE.NET', 'DNS3.P08.NSONE.NET', 'DNS4.P08.NSONE.NET', 'NS-1283.AWSDNS-32.ORG', 'NS-1707.AWSDNS-21.CO.UK', 'NS-421.AWSDNS-52.COM', 'NS-520.AWSDNS-01.NET', 'dns4.p08.nsone.net', 'ns-520.awsdns-01.net', 'dns1.p08.nsone.net', 'ns-1707.awsdns-21.co.uk', 'dns2.p08.nsone.net', 'ns-421.awsdns-52.com', 'ns-1283.awsdns-32.org', 'dns3.p08.nsone.net'], 'status': ['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)', 'clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)', 'clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)'], 'emails': ['abusecomplaints@markmonitor.com', 'whoisrequest@markmonitor.com'], 'dnssec': 'unsigned', 'name': None, 'org': 'GitHub, Inc.', 'address': None, 'city': None, 'state': 'CA', 'registrant_postal_code': None, 'country': 'US'}, True)",.com
https://attack.mitre.org/versions/v13/techniques/T1078/,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
https://attack.mitre.org/versions/v13/techniques/T1133/,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
https://attack.mitre.org/versions/v13/techniques/T1566,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
https://attack.mitre.org/versions/v13/techniques/T1587/001/,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
https://attack.mitre.org/versions/v13/techniques/T1105/,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
https://attack.mitre.org/versions/v13/techniques/T1219/,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
https://attack.mitre.org/versions/v13/techniques/T1136/001,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
https://attack.mitre.org/versions/v13/techniques/T1098/,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
https://attack.mitre.org/versions/v13/techniques/T1059/001/,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
https://attack.mitre.org/versions/v13/techniques/T1059/003/,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
https://attack.mitre.org/versions/v13/techniques/T1562/001/,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
https://attack.mitre.org/versions/v13/techniques/T1112,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
secretsdump.py,2,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,textlink,secretsdump.py,False,,,,,,
https://attack.mitre.org/versions/v13/techniques/T1046/,2,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
https://attack.mitre.org/versions/v13/techniques/T1135/,2,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
